epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4361,1.3081,2.28779,3.35113,0.83701,0.9888,0.97573,0.81321,0.72569,0.74557,2.55581,0.000474381,0.000474381,0.000474381
2,82.5615,1.05426,1.09402,2.99789,0.94619,0.97633,0.97572,0.80771,0.75684,0.529,2.67484,0.000938949,0.000938949,0.000938949
3,122.073,1.01178,0.90229,2.90344,0.94612,0.99418,0.98066,0.85094,0.65768,0.44752,2.40316,0.00139173,0.00139173,0.00139173
4,159.56,0.95865,0.83346,2.85731,0.9396,0.98933,0.9733,0.84471,0.63761,0.44868,2.34485,0.00137595,0.00137595,0.00137595
5,198.194,0.93583,0.81621,2.83508,0.95091,0.99997,0.96773,0.84817,0.61046,0.38804,2.32462,0.00135826,0.00135826,0.00135826
6,238.022,0.8848,0.73725,2.79843,0.94368,0.99925,0.95942,0.83781,0.59796,0.40857,2.29321,0.00134058,0.00134058,0.00134058
7,277.916,0.86267,0.69571,2.79272,0.94849,1,0.97683,0.86413,0.57278,0.37,2.38638,0.0013229,0.0013229,0.0013229
8,316.439,0.87116,0.6727,2.74844,0.94664,1,0.97337,0.85308,0.64059,0.40238,2.39597,0.00130521,0.00130521,0.00130521
9,360.615,0.81587,0.65225,2.70931,0.94462,1,0.97317,0.87733,0.51112,0.35019,2.16806,0.00128753,0.00128753,0.00128753
10,401.795,0.80038,0.6241,2.66573,0.95132,1,0.97484,0.87876,0.54993,0.3649,2.23291,0.00126985,0.00126985,0.00126985
11,443.453,0.80343,0.64206,2.70254,0.95319,1,0.96807,0.87242,0.58583,0.35611,2.16455,0.00125216,0.00125216,0.00125216
12,485.409,0.78967,0.62937,2.66089,0.95508,1,0.97565,0.8822,0.56724,0.3482,2.19905,0.00123448,0.00123448,0.00123448
13,527.078,0.77436,0.59899,2.62777,0.94823,1,0.97191,0.88365,0.49941,0.33656,2.18412,0.00121679,0.00121679,0.00121679
14,569.022,0.79589,0.63411,2.66673,0.94556,1,0.96065,0.85649,0.58894,0.35728,2.26937,0.00119911,0.00119911,0.00119911
15,610.132,0.77358,0.61562,2.65691,0.95397,1,0.96152,0.87378,0.51875,0.3332,2.20633,0.00118143,0.00118143,0.00118143
16,650.705,0.7716,0.63843,2.68219,0.94774,1,0.97133,0.89465,0.49999,0.32749,2.14058,0.00116374,0.00116374,0.00116374
17,691.543,0.75297,0.59362,2.61372,0.95048,1,0.97472,0.89564,0.50402,0.32491,2.11451,0.00114606,0.00114606,0.00114606
18,732.404,0.74152,0.58801,2.60189,0.95144,1,0.96104,0.87918,0.52863,0.33356,2.15234,0.00112837,0.00112837,0.00112837
19,773.436,0.76001,0.60819,2.64809,0.94662,1,0.96992,0.90048,0.50022,0.33378,2.18641,0.00111069,0.00111069,0.00111069
20,815.61,0.74468,0.57701,2.57969,0.95223,1,0.96869,0.90104,0.43915,0.31348,2.1282,0.00109301,0.00109301,0.00109301
21,854.615,0.72323,0.57733,2.56395,0.95162,1,0.97391,0.86516,0.59373,0.34804,2.32495,0.00107532,0.00107532,0.00107532
22,889.088,0.73059,0.58273,2.64014,0.94716,1,0.96502,0.88707,0.47862,0.31162,2.15234,0.00105764,0.00105764,0.00105764
23,923.314,0.72055,0.57663,2.61825,0.9438,0.9996,0.98088,0.90453,0.4833,0.32115,2.15979,0.00103995,0.00103995,0.00103995
24,959.262,0.71297,0.5792,2.59424,0.94914,1,0.9772,0.89541,0.50356,0.3287,2.1316,0.00102227,0.00102227,0.00102227
25,993.399,0.68978,0.54588,2.52405,0.95355,1,0.97646,0.89865,0.51014,0.31852,2.13148,0.00100459,0.00100459,0.00100459
26,1027.95,0.70907,0.54311,2.54003,0.94611,1,0.97521,0.9016,0.49045,0.30651,2.12864,0.000986903,0.000986903,0.000986903
27,1062.58,0.71086,0.5648,2.5574,0.94647,1,0.96958,0.90446,0.4417,0.29509,2.15009,0.000969219,0.000969219,0.000969219
28,1097.27,0.7105,0.55094,2.5271,0.9503,1,0.96916,0.88202,0.50116,0.32236,2.18933,0.000951535,0.000951535,0.000951535
29,1132.02,0.69957,0.54093,2.52016,0.94774,0.98625,0.97457,0.90018,0.45346,0.31592,2.19641,0.000933851,0.000933851,0.000933851
30,1171.45,0.69275,0.55054,2.57014,0.94725,1,0.9671,0.9059,0.4454,0.29566,2.10264,0.000916168,0.000916168,0.000916168
31,1215.04,0.68574,0.54094,2.51059,0.94667,1,0.97603,0.89115,0.51357,0.30022,2.12248,0.000898484,0.000898484,0.000898484
32,1256.53,0.68917,0.53112,2.53643,0.94318,1,0.96801,0.89459,0.49229,0.29816,2.12319,0.0008808,0.0008808,0.0008808
33,1297.91,0.67169,0.5442,2.50438,0.94714,1,0.96864,0.88838,0.49781,0.28829,2.11774,0.000863116,0.000863116,0.000863116
34,1339.94,0.66646,0.52553,2.47385,0.95196,1,0.978,0.90308,0.49197,0.30817,2.13078,0.000845432,0.000845432,0.000845432
35,1381.86,0.67112,0.526,2.53984,0.94775,1,0.97901,0.9085,0.47021,0.29827,2.10725,0.000827748,0.000827748,0.000827748
36,1427.45,0.67311,0.52653,2.51825,0.94756,1,0.96974,0.89575,0.48223,0.31738,2.12772,0.000810064,0.000810064,0.000810064
37,1474.26,0.65789,0.52118,2.50871,0.95245,1,0.97625,0.9026,0.48785,0.29963,2.13578,0.00079238,0.00079238,0.00079238
38,1516.97,0.67924,0.53012,2.52244,0.95355,1,0.97718,0.9165,0.45461,0.28963,2.06223,0.000774697,0.000774697,0.000774697
39,1558.23,0.6635,0.49751,2.47209,0.9472,1,0.9775,0.91228,0.45675,0.30507,2.12824,0.000757013,0.000757013,0.000757013
40,1599.59,0.66307,0.49607,2.51385,0.94792,1,0.97541,0.90248,0.47638,0.29843,2.11301,0.000739329,0.000739329,0.000739329
41,1641.48,0.66345,0.50112,2.48682,0.94652,1,0.98715,0.93002,0.45451,0.27771,2.11273,0.000721645,0.000721645,0.000721645
42,1682.19,0.65475,0.49039,2.47012,0.95358,1,0.9784,0.9105,0.45289,0.28475,2.06919,0.000703961,0.000703961,0.000703961
43,1722,0.64249,0.48257,2.47024,0.9522,1,0.97597,0.91202,0.46189,0.2906,2.10966,0.000686277,0.000686277,0.000686277
44,1761.75,0.64221,0.48202,2.45569,0.94558,1,0.96595,0.90114,0.4371,0.3023,2.11309,0.000668593,0.000668593,0.000668593
45,1799.41,0.64756,0.48126,2.45581,0.94792,1,0.97993,0.91015,0.4578,0.29014,2.09758,0.000650909,0.000650909,0.000650909
46,1837.51,0.62915,0.47687,2.45688,0.94516,1,0.9716,0.90962,0.46191,0.29638,2.12323,0.000633226,0.000633226,0.000633226
47,1875.15,0.65755,0.50986,2.47404,0.9554,1,0.98018,0.90806,0.50478,0.28282,2.11112,0.000615542,0.000615542,0.000615542
48,1913.14,0.6349,0.47959,2.45973,0.95266,0.99928,0.97472,0.91641,0.45006,0.29386,2.11154,0.000597858,0.000597858,0.000597858
49,1951.28,0.61833,0.48256,2.45149,0.95859,0.99167,0.97864,0.91246,0.46286,0.28875,2.09686,0.000580174,0.000580174,0.000580174
50,1989.21,0.64311,0.50227,2.47109,0.94647,1,0.97761,0.91864,0.4565,0.2799,2.08927,0.00056249,0.00056249,0.00056249
51,2027.54,0.62903,0.47516,2.46253,0.95152,0.99824,0.98356,0.91625,0.46912,0.28802,2.13639,0.000544806,0.000544806,0.000544806
52,2065.24,0.63269,0.48849,2.45555,0.95392,1,0.97453,0.90991,0.45586,0.29631,2.09432,0.000527122,0.000527122,0.000527122
53,2102.84,0.62007,0.46348,2.4216,0.95503,1,0.97601,0.9055,0.47458,0.28746,2.08,0.000509438,0.000509438,0.000509438
54,2140.71,0.61543,0.45516,2.44216,0.9603,0.99767,0.97947,0.90534,0.49716,0.2909,2.13245,0.000491755,0.000491755,0.000491755
55,2178.61,0.60187,0.46839,2.41952,0.94612,1,0.98135,0.90832,0.48233,0.28009,2.11647,0.000474071,0.000474071,0.000474071
56,2217.35,0.60107,0.4526,2.39391,0.94689,1,0.98091,0.92493,0.44461,0.28663,2.07401,0.000456387,0.000456387,0.000456387
57,2257.32,0.60957,0.46466,2.43565,0.95966,0.99307,0.98349,0.91489,0.47385,0.28112,2.11604,0.000438703,0.000438703,0.000438703
58,2294.3,0.6044,0.44824,2.41467,0.95551,0.98922,0.97567,0.91614,0.44019,0.29943,2.10361,0.000421019,0.000421019,0.000421019
59,2332.86,0.59894,0.46159,2.38662,0.95303,1,0.97637,0.91286,0.44167,0.28088,2.05308,0.000403335,0.000403335,0.000403335
60,2370.52,0.61415,0.45974,2.4342,0.95904,0.98918,0.98348,0.91883,0.44401,0.28413,2.10671,0.000385651,0.000385651,0.000385651
61,2408.07,0.59355,0.45651,2.38232,0.95236,1,0.9786,0.91152,0.4423,0.27771,2.08494,0.000367967,0.000367967,0.000367967
62,2445.82,0.60474,0.45945,2.41835,0.95422,0.99907,0.97796,0.91928,0.43299,0.27516,2.07576,0.000350284,0.000350284,0.000350284
63,2484.65,0.57869,0.42802,2.39499,0.95378,1,0.98398,0.92313,0.43755,0.27456,2.07609,0.0003326,0.0003326,0.0003326
64,2524.16,0.60381,0.45811,2.40328,0.95421,0.99048,0.98018,0.92005,0.44661,0.2801,2.11441,0.000314916,0.000314916,0.000314916
65,2564.4,0.58466,0.44689,2.39036,0.95363,1,0.98025,0.91922,0.45227,0.27319,2.07965,0.000297232,0.000297232,0.000297232
66,2608.16,0.5934,0.45116,2.45626,0.94456,1,0.98477,0.92724,0.42765,0.28298,2.14892,0.000279548,0.000279548,0.000279548
67,2647.14,0.59203,0.4501,2.39843,0.95873,0.99167,0.9834,0.92585,0.43062,0.27357,2.10395,0.000261864,0.000261864,0.000261864
68,2686.56,0.57602,0.43465,2.3657,0.95851,0.99167,0.98349,0.92321,0.43862,0.2665,2.08822,0.00024418,0.00024418,0.00024418
69,2725.7,0.58281,0.44714,2.37236,0.95825,0.99167,0.98416,0.92736,0.42884,0.26003,2.08188,0.000226497,0.000226497,0.000226497
70,2764.96,0.56749,0.42654,2.37056,0.95723,0.99167,0.98568,0.93038,0.41951,0.26359,2.08303,0.000208813,0.000208813,0.000208813
71,2826.68,0.35092,0.26789,1.72189,0.95613,0.99167,0.98434,0.9274,0.41616,0.26463,2.11071,0.000191129,0.000191129,0.000191129
72,2864.73,0.3492,0.25402,1.72487,0.95724,0.99167,0.98513,0.92743,0.43593,0.26528,2.12686,0.000173445,0.000173445,0.000173445
73,2901.58,0.33985,0.25155,1.69269,0.94943,1,0.98432,0.92581,0.42431,0.26314,2.08821,0.000155761,0.000155761,0.000155761
74,2939.11,0.33877,0.25049,1.69077,0.94648,1,0.98375,0.9295,0.41962,0.25857,2.08036,0.000138077,0.000138077,0.000138077
75,2977.23,0.34129,0.24557,1.68021,0.95913,0.99167,0.98426,0.92512,0.42732,0.268,2.11245,0.000120393,0.000120393,0.000120393
76,3015.69,0.33907,0.24474,1.69695,0.95906,0.9905,0.98439,0.9251,0.42601,0.25854,2.12297,0.000102709,0.000102709,0.000102709
77,3053.75,0.32997,0.23654,1.68103,0.95384,1,0.98735,0.9308,0.42256,0.25528,2.12344,8.50255e-05,8.50255e-05,8.50255e-05
78,3091.11,0.32351,0.2309,1.64596,0.95974,0.99616,0.98755,0.92674,0.43846,0.25233,2.11465,6.73416e-05,6.73416e-05,6.73416e-05
79,3129.37,0.32446,0.22672,1.64602,0.95863,1,0.98648,0.92809,0.43256,0.24831,2.12532,4.96578e-05,4.96578e-05,4.96578e-05
80,3173.05,0.32036,0.22578,1.64074,0.95245,0.9965,0.98795,0.92718,0.4279,0.2502,2.1253,3.19739e-05,3.19739e-05,3.19739e-05
